frame,value
frame_0,0.4246128023193714
frame_1,0.4246128023193714
frame_2,0.2454566262302587
frame_3,0.23550774395361262
frame_4,0.36536202029449916
frame_5,0.7099412527656978
frame_6,0.8833295185778592
frame_7,0.8353551537346456
frame_8,0.7869230182345313
frame_9,0.6240329594872969
frame_10,0.5101243610284582
frame_11,0.43775082017242706
frame_12,0.31522087434195467
frame_13,0.18225375753414214
frame_14,0.18225375753414214
frame_15,0.1567559319447624
frame_16,0.15013351644159617
frame_17,0.33038834210727097
frame_18,0.6850843060959793
frame_19,0.9284962233920805
frame_20,0.9722438391699094
frame_21,0.8500495918211645
frame_22,0.5319600213626307
frame_23,0.18516823071641117
frame_24,0.11068894483863595
frame_25,0.18384069581139856
frame_26,0.3084458686198215
frame_27,0.3084458686198215
frame_28,0.4178835736629283
frame_29,0.47423514152742813
frame_30,0.5175555046921493
frame_31,0.6675211718928817
frame_32,0.8384222171358816
frame_33,0.8825513084611277
frame_34,0.8362859540703441
frame_35,0.5662012664988175
frame_36,0.20218204013122765
frame_37,0.04682993820096138
frame_38,0.04155031662470439
frame_39,0.22346837567711916
frame_40,0.22346837567711916
frame_41,0.5448844129091326
frame_42,0.7852292668039978
frame_43,0.8572365911345083
frame_44,0.7794613565270467
frame_45,0.6612802319371329
frame_46,0.5646753643091479
frame_47,0.5074998092622264
frame_48,0.45326924544136726
frame_49,0.3037613488975357
frame_50,0.14740215152208752
frame_51,0.11444266422522326
frame_52,0.20399786373693451
frame_53,0.20399786373693451
frame_54,0.4731212329289693
frame_55,0.7930266269932098
frame_56,0.9928740367742428
frame_57,0.9332875562676434
frame_58,0.6470130464637217
frame_59,0.40367742427710385
frame_60,0.20228885328450455
frame_61,0.13130388342107277
frame_62,0.24914930952925923
frame_63,0.3407797360189212
frame_64,0.43874265659571227
frame_65,0.419104295414664
frame_66,0.5374532692454415
frame_67,0.5374532692454415
frame_68,0.7022659647516595
frame_69,0.8067902647440299
frame_70,0.9577172503242541
frame_71,0.7359884031433586
frame_72,0.37573815518425274
frame_73,0.11096360723277643
frame_74,0.04625009536888692
frame_75,0.13987945372701616
frame_76,0.35622186617837803
frame_77,0.6489967193102922
frame_78,0.7632715342946518
frame_79,0.742198825055314
frame_80,0.742198825055314
frame_81,0.6935988403143359
frame_82,0.6215457389181354
frame_83,0.6072327763790342
frame_84,0.5285420004577708
frame_85,0.3929808499275197
frame_86,0.2480964370183872
frame_87,0.09343099107347227
frame_88,0.15609979400320445
frame_89,0.3156939040207523
frame_90,0.6048676279850462
frame_91,0.9192034790569925
frame_92,0.9525749599450677
frame_93,0.9525749599450677
frame_94,0.8106050202182041
frame_95,0.5450980392156863
frame_96,0.30666056305790806
frame_97,0.20233463035019464
frame_98,0.2344396124208439
frame_99,0.3123674372472725
frame_100,0.3553215838864729
frame_101,0.3646906233310445
frame_102,0.4237888151369498
frame_103,0.5793698023956665
frame_104,0.7855497062638285
frame_105,0.9215075913633937
frame_106,0.9215075913633937
